model,condition,accuracy,mean_confidence,brier_score,log_score,overconfidence,n_valid,trial
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,528
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,529
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,1.0,0.4,2.7637024117930045,0.4,10,530
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,531
mistralai/Mistral-7B-Instruct-v0.2,C2,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,532
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,1.0,0.4,2.7637024117930045,0.4,10,533
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,534
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,535
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,536
mistralai/Mistral-7B-Instruct-v0.2,C2,0.5,1.0,0.5,3.4543778896578594,0.5,10,537
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,1.0,0.4,2.7637024117930045,0.4,10,538
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,1.0,0.4,2.7637024117930045,0.4,10,539
mistralai/Mistral-7B-Instruct-v0.2,C2,0.2,1.0,0.8,5.526404323252425,0.8,10,540
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,541
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,0.9,0.2,1.3823514560632941,0.20000000000000007,10,542
mistralai/Mistral-7B-Instruct-v0.2,C2,0.6,1.0,0.4,2.7637024117930045,0.4,10,543
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,544
mistralai/Mistral-7B-Instruct-v0.2,C2,0.5,1.0,0.5,3.4543778896578594,0.5,10,545
mistralai/Mistral-7B-Instruct-v0.2,C2,0.4,1.0,0.6,4.145053367522715,0.6,10,546
mistralai/Mistral-7B-Instruct-v0.2,C2,0.3,1.0,0.7,4.83572884538757,0.7,10,547
mistralai/Mistral-7B-Instruct-v0.2,C2,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,548
